# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
15, 179.99, 2:59.99, 1896.03, 95.94, 1106%, 0, 78640, 0, 0, 2090649, 0, 0, 0, 0, 9980, 16492, 0, bash -c make --quiet --jobs=15
15, 180.29, 3:00.29, 1896.46, 96.05, 1105%, 0, 78640, 0, 0, 2090752, 0, 0, 0, 0, 10027, 16604, 0, bash -c make --quiet --jobs=15
16, 178.00, 2:58.00, 1983.84, 99.14, 1170%, 0, 78640, 0, 0, 2090541, 0, 0, 0, 0, 10892, 16426, 0, bash -c make --quiet --jobs=16
16, 178.48, 2:58.48, 1984.44, 99.51, 1167%, 22416, 78640, 0, 51, 2111722, 0, 0, 0, 0, 11814, 17207, 0, bash -c make --quiet --jobs=16
16, 178.02, 2:58.02, 1981.99, 99.54, 1169%, 4704, 78640, 0, 16, 2090683, 0, 0, 0, 0, 10979, 16667, 0, bash -c make --quiet --jobs=16
17, 176.85, 2:56.85, 2070.56, 101.46, 1228%, 27024, 78640, 0, 128, 2112946, 0, 0, 0, 0, 11842, 18723, 0, bash -c make --quiet --jobs=17
17, 177.02, 2:57.02, 2071.40, 102.22, 1227%, 56032, 78640, 0, 169, 2112960, 0, 0, 0, 0, 12887, 18908, 0, bash -c make --quiet --jobs=17
17, 176.16, 2:56.16, 2076.94, 100.74, 1236%, 5968, 78640, 0, 32, 2109896, 0, 0, 0, 0, 11652, 16689, 0, bash -c make --quiet --jobs=17
18, 174.68, 2:54.68, 2161.06, 104.67, 1297%, 51704, 78640, 0, 94, 2136891, 0, 0, 0, 0, 13171, 18418, 0, bash -c make --quiet --jobs=18
18, 174.62, 2:54.62, 2164.14, 103.87, 1298%, 3160, 78656, 0, 10, 2097558, 0, 0, 0, 0, 12014, 16807, 0, bash -c make --quiet --jobs=18
18, 175.03, 2:55.03, 2160.22, 105.10, 1294%, 48864, 78640, 0, 89, 2107661, 0, 0, 0, 0, 13071, 18236, 0, bash -c make --quiet --jobs=18
19, 172.99, 2:52.99, 2247.14, 108.87, 1361%, 75264, 78640, 0, 512, 2131257, 0, 0, 0, 0, 13705, 19991, 0, bash -c make --quiet --jobs=19
19, 172.83, 2:52.83, 2244.29, 108.69, 1361%, 102368, 78640, 0, 884, 2131195, 0, 0, 0, 0, 13848, 20028, 0, bash -c make --quiet --jobs=19
19, 173.13, 2:53.13, 2246.72, 106.94, 1359%, 13128, 78640, 0, 82, 2116219, 0, 0, 0, 0, 12003, 17340, 0, bash -c make --quiet --jobs=19
20, 172.14, 2:52.14, 2329.86, 109.92, 1417%, 85024, 78640, 0, 645, 2156630, 0, 0, 0, 0, 13909, 19891, 0, bash -c make --quiet --jobs=20
20, 171.67, 2:51.67, 2326.90, 109.11, 1418%, 92688, 78640, 0, 488, 2155111, 0, 0, 0, 0, 13712, 20298, 0, bash -c make --quiet --jobs=20
20, 171.81, 2:51.81, 2330.24, 109.65, 1420%, 76448, 78640, 0, 173, 2137018, 0, 0, 0, 0, 13210, 19271, 0, bash -c make --quiet --jobs=20
21, 169.58, 2:49.58, 2399.99, 112.54, 1481%, 149256, 78640, 0, 1512, 2209400, 0, 0, 0, 0, 15036, 23337, 0, bash -c make --quiet --jobs=21
21, 170.62, 2:50.62, 2406.01, 112.90, 1476%, 136536, 78640, 0, 1240, 2195392, 0, 0, 0, 0, 14306, 21870, 0, bash -c make --quiet --jobs=21
21, 170.73, 2:50.73, 2410.04, 111.35, 1476%, 107232, 78640, 0, 737, 2167155, 0, 0, 0, 0, 13957, 20593, 0, bash -c make --quiet --jobs=21
22, 170.03, 2:50.03, 2470.66, 116.25, 1521%, 244280, 78640, 0, 3805, 2286165, 0, 0, 0, 0, 16852, 27372, 0, bash -c make --quiet --jobs=22
22, 170.79, 2:50.79, 2480.81, 116.20, 1520%, 275792, 78656, 0, 3257, 2302598, 0, 0, 0, 0, 16450, 26967, 0, bash -c make --quiet --jobs=22
22, 169.15, 2:49.15, 2485.52, 113.55, 1536%, 127256, 78640, 0, 804, 2189397, 0, 0, 0, 0, 14157, 20772, 0, bash -c make --quiet --jobs=22
23, 168.85, 2:48.85, 2549.43, 119.47, 1580%, 239720, 78640, 0, 2545, 2283136, 0, 0, 0, 0, 16824, 26778, 0, bash -c make --quiet --jobs=23
23, 168.40, 2:48.40, 2560.98, 117.47, 1590%, 173568, 78640, 0, 1604, 2249415, 0, 0, 0, 0, 15639, 23347, 0, bash -c make --quiet --jobs=23
23, 169.40, 2:49.40, 2552.39, 119.90, 1577%, 271176, 78640, 0, 4001, 2338849, 0, 0, 0, 0, 17891, 27141, 0, bash -c make --quiet --jobs=23
24, 169.40, 2:49.40, 2631.76, 124.49, 1627%, 345776, 78640, 0, 4424, 2402562, 0, 0, 0, 0, 19854, 31971, 0, bash -c make --quiet --jobs=24
24, 168.35, 2:48.35, 2649.63, 124.24, 1647%, 291920, 78640, 0, 4979, 2346557, 0, 0, 0, 0, 19711, 28290, 0, bash -c make --quiet --jobs=24
24, 169.11, 2:49.11, 2625.26, 124.06, 1625%, 416488, 78640, 0, 6290, 2468028, 0, 0, 0, 0, 19780, 32335, 0, bash -c make --quiet --jobs=24
25, 168.46, 2:48.46, 2749.14, 125.04, 1706%, 248872, 78640, 0, 3579, 2298517, 0, 0, 0, 0, 18894, 26663, 0, bash -c make --quiet --jobs=25
25, 169.73, 2:49.73, 2727.53, 128.59, 1682%, 413312, 78640, 0, 5387, 2492280, 0, 0, 0, 0, 22486, 33428, 0, bash -c make --quiet --jobs=25
25, 170.37, 2:50.37, 2682.64, 130.07, 1650%, 597816, 78640, 0, 7815, 2591517, 0, 0, 0, 0, 23090, 38809, 0, bash -c make --quiet --jobs=25
26, 167.13, 2:47.13, 2816.02, 131.80, 1763%, 487176, 78640, 0, 7479, 2567671, 0, 0, 0, 0, 24564, 36522, 0, bash -c make --quiet --jobs=26
26, 170.25, 2:50.25, 2795.32, 131.74, 1719%, 542776, 78656, 0, 8164, 2584651, 0, 0, 0, 0, 24341, 36373, 0, bash -c make --quiet --jobs=26
26, 169.74, 2:49.74, 2804.44, 130.04, 1728%, 504376, 78640, 0, 8738, 2525673, 0, 0, 0, 0, 23376, 35376, 0, bash -c make --quiet --jobs=26
27, 168.90, 2:48.90, 2864.22, 134.95, 1775%, 687800, 78720, 0, 10738, 2682819, 0, 0, 0, 0, 26602, 39349, 0, bash -c make --quiet --jobs=27
27, 171.03, 2:51.03, 2897.50, 134.00, 1772%, 559856, 78656, 0, 9600, 2576323, 0, 0, 0, 0, 25236, 35852, 0, bash -c make --quiet --jobs=27
27, 174.03, 2:54.03, 2816.65, 138.44, 1697%, 814488, 78752, 0, 14129, 2786576, 0, 0, 0, 0, 28398, 44409, 0, bash -c make --quiet --jobs=27
28, 171.23, 2:51.23, 2958.01, 142.76, 1810%, 774656, 78704, 0, 14397, 2900083, 0, 0, 0, 0, 32306, 44918, 0, bash -c make --quiet --jobs=28
28, 171.97, 2:51.97, 2884.30, 143.01, 1760%, 923472, 78752, 0, 17150, 2921546, 0, 0, 0, 0, 32039, 48926, 0, bash -c make --quiet --jobs=28
28, 170.16, 2:50.16, 2929.83, 141.21, 1804%, 833000, 78672, 0, 13183, 2898400, 0, 0, 0, 0, 30578, 45120, 0, bash -c make --quiet --jobs=28
29, 139.34, 2:19.34, 2050.23, 99.67, 1542%, 1109576, 46272, 0, 23414, 2160639, 0, 0, 0, 0, 24212, 42675, 2, bash -c make --quiet --jobs=29
29, 172.22, 2:52.22, 2960.61, 145.93, 1803%, 930048, 79024, 0, 18002, 2964391, 0, 0, 0, 0, 33385, 46125, 0, bash -c make --quiet --jobs=29
29, 177.33, 2:57.33, 2840.14, 145.85, 1683%, 1070752, 65744, 0, 23822, 2900645, 0, 0, 0, 0, 33632, 50290, 2, bash -c make --quiet --jobs=29
30, 132.76, 2:12.76, 1685.39, 91.43, 1338%, 920272, 42448, 0, 21638, 1912426, 0, 0, 0, 0, 21748, 40996, 2, bash -c make --quiet --jobs=30
30, 182.23, 3:02.23, 2918.85, 150.54, 1684%, 1173344, 78992, 0, 24152, 3188793, 0, 0, 0, 0, 38712, 56780, 0, bash -c make --quiet --jobs=30
30, 197.43, 3:17.43, 2799.84, 150.70, 1494%, 1287608, 79152, 0, 29352, 2987969, 0, 0, 0, 0, 36254, 57218, 0, bash -c make --quiet --jobs=30
31, 
