# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
4, 289.85, 4:49.85, 1119.25, 5.67, 388%, 0, 222928, 0, 0, 105876, 0, 0, 0, 0, 1310, 319, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p4 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.4"
4, 289.41, 4:49.41, 1117.59, 5.73, 388%, 0, 222928, 0, 0, 105876, 0, 0, 0, 0, 1234, 317, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p4 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.4"
5, 237.85, 3:57.85, 1126.98, 5.94, 476%, 0, 223008, 0, 0, 106693, 0, 0, 0, 0, 1196, 270, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p5 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.5"
5, 238.57, 3:58.57, 1126.52, 5.92, 474%, 0, 223008, 0, 0, 106693, 0, 0, 0, 0, 1241, 269, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p5 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.5"
5, 238.10, 3:58.10, 1127.34, 5.92, 475%, 0, 223008, 0, 0, 106693, 0, 0, 0, 0, 1002, 274, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p5 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.5"
6, 199.96, 3:19.96, 1141.49, 5.55, 573%, 0, 223056, 0, 0, 107513, 0, 0, 0, 0, 1149, 249, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p6 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.6"
6, 199.83, 3:19.83, 1140.74, 5.66, 573%, 0, 223056, 0, 0, 107513, 0, 0, 0, 0, 1195, 244, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p6 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.6"
6, 200.94, 3:20.94, 1141.12, 5.39, 570%, 0, 223056, 0, 0, 107513, 0, 0, 0, 0, 1168, 248, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p6 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.6"
7, 174.57, 2:54.57, 1150.67, 5.80, 662%, 0, 222960, 0, 0, 108316, 0, 0, 0, 0, 1006, 221, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p7 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.7"
7, 174.57, 2:54.57, 1150.02, 5.88, 662%, 0, 222960, 0, 0, 108316, 0, 0, 0, 0, 1192, 219, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p7 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.7"
7, 174.36, 2:54.36, 1150.23, 5.98, 663%, 0, 222960, 0, 0, 108316, 0, 0, 0, 0, 1187, 218, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p7 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.7"
8, 156.04, 2:36.04, 1162.94, 5.96, 749%, 0, 223072, 0, 0, 109248, 0, 0, 0, 0, 1189, 209, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p8 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.8"
8, 156.27, 2:36.27, 1162.89, 5.96, 747%, 0, 223072, 0, 0, 109248, 0, 0, 0, 0, 1192, 212, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p8 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.8"
8, 155.95, 2:35.95, 1162.67, 5.96, 749%, 0, 223072, 0, 0, 109248, 0, 0, 0, 0, 1158, 211, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p8 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.8"
9, 141.81, 2:21.81, 1221.32, 5.86, 865%, 0, 223232, 0, 0, 110190, 0, 0, 0, 0, 7443, 205, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p9 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.9"
9, 142.21, 2:22.21, 1221.94, 5.83, 863%, 0, 223232, 0, 0, 110190, 0, 0, 0, 0, 7674, 210, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p9 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.9"
9, 141.89, 2:21.89, 1222.74, 5.86, 865%, 0, 223232, 0, 0, 110190, 0, 0, 0, 0, 7578, 204, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p9 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.9"
10, 140.32, 2:20.32, 1267.11, 6.01, 907%, 0, 222880, 0, 0, 110754, 0, 0, 0, 0, 7042, 211, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p10 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.10"
10, 141.08, 2:21.08, 1267.15, 6.06, 902%, 0, 222880, 0, 0, 110754, 0, 0, 0, 0, 7166, 208, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p10 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.10"
10, 140.77, 2:20.77, 1267.27, 6.00, 904%, 0, 222880, 0, 0, 110754, 0, 0, 0, 0, 7149, 204, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p10 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.10"
11, 130.72, 2:10.72, 1310.33, 6.02, 1006%, 0, 222960, 0, 0, 111580, 0, 0, 0, 0, 6265, 197, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p11 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.11"
