# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
17, 108.27, 1:48.27, 1610.15, 6.44, 1493%, 0, 223120, 0, 0, 116694, 0, 0, 0, 0, 2558, 239, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p17 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.17"
18, 102.63, 1:42.63, 1656.57, 6.32, 1620%, 0, 223072, 0, 0, 117615, 0, 0, 0, 0, 3240, 255, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p18 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.18"
18, 102.26, 1:42.26, 1655.14, 6.30, 1624%, 0, 223072, 0, 0, 117615, 0, 0, 0, 0, 3124, 238, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p18 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.18"
18, 102.27, 1:42.27, 1659.57, 6.28, 1628%, 0, 223072, 0, 0, 117615, 0, 0, 0, 0, 2893, 243, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p18 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.18"
19, 95.83, 1:35.83, 1655.03, 6.55, 1733%, 0, 223168, 0, 0, 118202, 0, 0, 0, 0, 3139, 274, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p19 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.19"
19, 96.65, 1:36.65, 1658.84, 6.58, 1723%, 0, 223168, 0, 0, 118202, 0, 0, 0, 0, 3428, 286, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p19 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.19"
19, 95.98, 1:35.98, 1654.54, 6.55, 1730%, 0, 223168, 0, 0, 118202, 0, 0, 0, 0, 3141, 266, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p19 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.19"
20, 97.69, 1:37.69, 1718.07, 6.92, 1765%, 0, 222976, 0, 0, 119120, 0, 0, 0, 0, 3239, 262, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p20 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.20"
20, 99.70, 1:39.70, 1719.13, 6.90, 1731%, 0, 222976, 0, 0, 119120, 0, 0, 0, 0, 2994, 299, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p20 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.20"
20, 98.29, 1:38.29, 1719.28, 6.86, 1756%, 0, 222976, 0, 0, 119120, 0, 0, 0, 0, 3104, 261, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p20 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.20"
